idx	1_A+B	1_A-B	1_A*B	1_A==B	1/2_A+B	1/2_A-B	1/2_A*B	1/2_A==B	mx_A+B	mx_A-B	mx_A*B	mx_A==B	 
103	9.20251	9.38583	24.1404	0.38665	52.4187	29.2604	52.1121	4.53498	95.1259	53.2	93.0154	7.69706	
104	9.21414	9.46411	24.5363	0.39421	52.6275	29.2466	51.7479	4.14375	95.6987	52.9792	92.925	7.69957	
105	9.28664	9.53959	24.9179	0.3904	52.4246	29.2537	51.4171	4.1555	95.745	53.1	93.6704	7.76166	
106	9.36124	9.63668	25.2229	0.39464	52.6546	29.3658	51.5346	4.23366	95.6075	53.1771	93.2338	7.87409	
107	9.45792	9.70119	25.5784	0.39797	52.5391	29.4066	51.3391	4.16836	95.7967	53.3787	93.1254	7.73215	
108	9.53214	9.84668	25.9667	0.40291	52.5529	29.4875	51.4075	4.16922	95.4896	53.2992	93.4675	7.73373	
109	9.6179	9.87867	26.3463	0.41032	52.7913	29.4537	51.7612	4.22159	95.4737	53.4013	93.2484	7.78081	
110	9.73963	10.0274	26.8092	0.40783	52.9029	29.8029	51.8767	4.18746	95.5058	53.6862	93.6971	7.75587	
111	9.84831	10.0546	27.1317	0.40463	52.6592	29.623	51.5921	4.20082	95.7071	53.4954	93.805	7.74291	
112	9.88088	10.158	27.4946	0.40833	53.2467	29.6475	51.8475	4.1829	95.7987	53.4117	93.4758	7.7475	
113	9.96497	10.2471	28.048	0.41796	52.8563	29.7654	52.3004	4.18958	95.945	53.6567	93.4909	7.74333	
114	10.0375	10.3246	28.3129	0.41511	53.1704	29.7042	51.96	4.34042	95.8379	53.8245	93.9704	7.74876	
115	10.1879	10.4183	28.6792	0.41876	53.2987	29.805	52.3154	4.19709	96.3875	53.5979	93.8375	7.76245	
116	10.2354	10.6404	29.0624	0.42417	53.3087	29.8987	52.4771	4.21001	96.1287	53.7313	93.8003	7.77452	
117	10.3075	10.5933	29.4471	0.42831	53.6429	29.91	52.7629	4.23333	96.8229	53.7025	94.0796	7.76502	
118	10.3883	10.6817	29.8416	0.42411	53.3996	30.0279	52.3767	4.22664	96.2138	53.6654	94.7738	7.82543	
119	10.5596	10.7758	30.3062	0.42455	53.6	29.9212	52.5046	4.23743	97.4267	53.7029	94.0004	7.87918	
120	10.7091	10.8717	30.7241	0.43572	54.5121	32.4291	52.6846	4.23168	96.8155	53.9745	94.32	7.80124	
121	10.7109	11.0567	31.2016	0.43501	53.8917	30.1196	53.0142	4.22627	96.7784	54.1679	94.6475	7.81124	
122	10.7675	11.0608	31.8166	0.4396	53.7633	30.21	52.675	4.2308	97.1916	53.91	94.4287	7.82706	
123	10.8442	11.1376	31.9675	0.43793	54.1721	30.1108	52.9929	4.24879	97.86	54.7179	94.545	7.79629	
124	10.8925	11.2095	32.4325	0.44168	53.8391	30.1534	52.7646	4.25624	97.0442	54.1546	94.6871	7.7983	
125	10.9692	11.2717	33.2883	0.44377	53.9887	30.2446	53.1067	4.25206	97.3554	54.4692	95.1121	7.8	
126	11.0425	11.3554	33.1504	0.44538	54.2221	30.245	52.9875	4.24579	97.4192	54.4342	95.095	7.80589	
127	11.1646	11.4421	33.7829	0.44791	54.6192	30.3696	53.1346	4.2525	97.325	54.2287	95.4154	8.0275	
128	11.2299	11.5196	34.0595	0.45417	54.2308	30.3225	53.1467	4.31372	97.338	54.1292	94.9808	7.8146	
129	11.3158	11.6354	34.5396	0.45497	54.4067	30.4733	53.1342	4.28254	97.3534	54.5525	95.5179	7.83663	
130	11.4133	11.7054	35.3488	0.4579	55.1825	30.445	53.5788	4.26918	97.5004	54.645	95.4625	7.8358	
131	11.4729	11.9575	35.3005	0.45542	54.3021	30.5646	53.3337	4.26708	97.4813	54.3242	95.6154	7.81958	
132	11.567	11.8904	35.6992	0.45374	55.1425	30.5954	53.5988	4.29338	98.7695	54.3788	96.0588	7.8362	
133	11.72	12.0062	36.1387	0.46378	54.5754	30.5871	53.8479	4.60554	98.1245	54.5092	95.4288	7.83955	
134	11.7125	12.0492	36.83	0.46709	54.5546	30.91	53.5312	4.29175	98.4616	54.4758	95.3645	7.86715	
135	11.8779	12.2	37.2071	0.47164	54.7846	30.8912	53.8704	4.28749	97.9988	54.6362	96.1091	7.85291	
136	12.1446	12.3637	38.5279	0.47664	55.2054	30.8871	54.1112	4.30128	97.7288	54.5954	95.3154	7.86086	
137	12.0438	12.3383	37.9984	0.48454	58.3663	30.8655	54.1521	4.31879	97.8675	54.6295	95.9275	7.86582	
138	12.0629	12.3938	38.3233	0.47583	55.2383	30.8704	54.2429	4.30627	97.7279	54.7591	95.6754	7.86294	
139	12.1846	12.4963	38.9492	0.48497	55.4808	30.9904	54.055	4.32458	98.0425	54.7846	95.7758	7.87082	
140	12.2138	12.5625	39.3049	0.48834	55.05	30.98	54.3121	4.35961	98.6416	54.8896	96.2016	7.90534	
141	12.3858	12.7004	39.8854	0.48171	55.4208	31.2745	54.9417	4.34832	98.5025	55.2367	97.1254	7.93372	
142	12.4504	12.7325	40.1867	0.48789	55.5387	31.0983	54.5575	4.3308	98.5671	54.8246	96.0009	7.8846	
143	12.5012	12.9542	41.065	0.48835	55.8941	31.1117	54.6804	4.32836	98.325	54.9812	96.4892	7.87831	
144	12.5924	12.9246	41.1633	0.4929	55.6329	31.235	54.7588	4.34914	98.5983	55.7537	97.4225	7.88167	
145	12.9787	13.1396	41.5796	0.49334	55.8621	31.2221	54.7463	4.33	98.895	54.9971	96.5033	8.14374	
146	12.7604	13.1008	42.4063	0.49541	55.9454	31.1888	55.0475	4.33746	98.8054	55.1246	96.1925	7.94125	
147	12.8241	13.2246	42.55	0.50499	55.6092	31.7496	54.4408	4.35332	98.5405	55.2	96.6405	7.91217	
148	12.8846	13.2571	43.172	0.50416	56.1	31.3775	55.0087	4.35211	98.7792	55.3429	97.1854	7.90708	
149	12.9808	13.3646	43.4404	0.50334	56.1542	31.3779	55.2242	4.35125	98.7137	55.2187	96.7963	7.94332	
150	13.0346	13.4475	43.8933	0.50869	56.1446	31.4321	55.2395	4.36373	98.8804	55.2438	96.6396	7.9122	
151	13.1237	13.5771	44.405	0.50624	56.6033	31.4312	55.3058	4.3646	99.7404	55.3292	97.0475	7.9183	
152	13.2092	13.6133	45.0767	0.50914	56.2879	31.7146	55.4213	4.36583	99.6517	55.4334	97.2975	7.92505	
153	13.2913	13.6896	45.5779	0.5175	56.1758	31.6117	55.3741	4.36751	99.2304	55.3937	97.4042	7.92788	
154	13.865	13.7809	45.8712	0.51501	56.5112	32.1075	55.7004	4.37544	99.6342	55.5584	97.39	7.9325	
155	13.4609	13.8425	46.3667	0.52035	56.6867	31.6146	55.7308	4.39165	100.385	55.435	97.2688	8.07835	
156	13.5221	13.9462	46.7983	0.5196	56.7079	31.6813	55.925	4.38124	99.4008	55.4896	97.6779	7.96458	
157	13.9383	13.7587	46.9716	0.53586	56.5237	31.8121	55.5775	4.39374	99.6683	55.5241	97.0683	7.95792	
158	13.6921	14.1563	47.9537	0.52375	56.4187	32.1259	55.9713	4.39458	99.3942	55.5934	98.0166	7.95834	
159	13.7975	14.2109	48.4063	0.53369	56.76	31.8367	55.7341	4.42411	99.8738	56.1213	97.4379	7.95751	
160	13.8842	14.3129	48.9559	0.53458	56.5975	31.93	55.9763	4.41626	99.8367	56.1038	98.0754	7.95546	
161	13.9758	14.7213	50.3283	0.53459	56.8504	31.9433	56.2309	4.40708	100.036	55.7729	97.4609	7.96914	
162	14.0559	14.4788	50.0717	0.53927	56.7521	32.4413	56.2987	4.42209	99.9796	55.8767	97.8087	7.99002	
163	14.1237	14.5621	50.523	0.54039	56.8254	32.2001	56.1275	4.42168	100.477	55.9608	97.8075	7.97623	
164	14.2121	14.6566	50.9813	0.54302	57.0471	32.1538	56.0779	4.42047	99.9066	56.0329	98.4092	7.98289	
165	14.2954	14.7454	51.6334	0.54419	57.3409	32.1708	56.2571	4.42708	100.046	56.0371	97.7883	7.98706	
